"generator","q","rtag","sample_size","rep","method","abs_ate_err","rand_index"
"sevt",0.5,"exp",1000,1,"dag_tabu",0.200179695708255,0.965725806451613
"sevt",0.5,"exp",1000,1,"dag_pc",0.168664675226682,0.868951612903226
"sevt",0.5,"exp",1000,1,"dag_bayes",0.207588044977243,0.933467741935484
"dag",0.5,"exp",1000,1,"tree_bayes",0.01903403625466,0.818548387096774
"dag",0.5,"exp",1000,1,"bhc",0.0335669547146583,0.282258064516129
"dag",0.5,"exp",1000,1,"csbhc",0.0238274508960467,0.516129032258065
"dag",0.5,"exp",1000,1,"dag_tabu",0.0270614827776704,0.483870967741935
"dag",0.5,"exp",1000,1,"dag_pc",0.0270614827776704,0.483870967741935
"dag",0.5,"exp",1000,1,"dag_bayes",0.0270563150026223,0.483870967741935
"sevt",0.8,"exp",1000,1,"tree_bayes",0.181477165624881,0.199596774193548
"sevt",0.8,"exp",1000,1,"bhc",0.188522652584063,0.435483870967742
"sevt",0.8,"exp",1000,1,"csbhc",0.158167499037803,0.445564516129032
"sevt",0.8,"exp",1000,1,"dag_tabu",0.160431644190976,0.51008064516129
"sevt",0.8,"exp",1000,1,"dag_pc",0.160431644190976,0.51008064516129
"sevt",0.8,"exp",1000,1,"dag_bayes",0.16042972396718,0.51008064516129
"dag",0.8,"exp",1000,1,"tree_bayes",0.0062766184776359,0.9375
"dag",0.8,"exp",1000,1,"bhc",0.00317118504260583,0.516129032258065
"dag",0.8,"exp",1000,1,"csbhc",0.0062130870789654,0.612903225806452
"dag",0.8,"exp",1000,1,"dag_tabu",0.0109276206147966,0.483870967741935
"dag",0.8,"exp",1000,1,"dag_pc",0.0109276206147964,0.483870967741935
"dag",0.8,"exp",1000,1,"dag_bayes",0.0109298819905841,0.483870967741935
"sevt",0,"unif",1000,1,"tree_bayes",0.0483339344589762,0.875
"sevt",0,"unif",1000,1,"bhc",0.0310000377393033,0.828629032258065
"sevt",0,"unif",1000,1,"csbhc",0.0441040743146677,0.735887096774194
"sevt",0,"unif",1000,1,"dag_tabu",0.0173145672035326,0.967741935483871
"sevt",0,"unif",1000,1,"dag_pc",0.0330527195170254,0.516129032258065
"sevt",0,"unif",1000,1,"dag_bayes",0.0110258248664459,0.903225806451613
"dag",0,"unif",1000,1,"tree_bayes",0.00787556850016794,0.665322580645161
"dag",0,"unif",1000,1,"bhc",0.0326290627310781,0.643145161290323
"dag",0,"unif",1000,1,"csbhc",0.0141080808658135,0.637096774193548
"dag",0,"unif",1000,1,"dag_tabu",0.00818737172987394,0.741935483870968
"dag",0,"unif",1000,1,"dag_pc",0.00818737172987394,0.741935483870968
"dag",0,"unif",1000,1,"dag_bayes",0.00818737172987394,0.741935483870968
"sevt",0.5,"unif",1000,1,"tree_bayes",0.194757146384315,0.733870967741935
"sevt",0.5,"unif",1000,1,"bhc",0.217081904957597,0.643145161290323
"sevt",0.5,"unif",1000,1,"csbhc",0.211670908695319,0.643145161290323
"sevt",0.5,"unif",1000,1,"dag_tabu",0.230942488258172,0.540322580645161
"sevt",0.5,"unif",1000,1,"dag_pc",0.230942488258172,0.540322580645161
"sevt",0.5,"unif",1000,1,"dag_bayes",0.23047915538628,0.540322580645161
"dag",0.5,"unif",1000,1,"tree_bayes",0.00762510695665978,0.582661290322581
"dag",0.5,"unif",1000,1,"bhc",0.000916769188255451,0.502016129032258
"dag",0.5,"unif",1000,1,"csbhc",0.00314734098026181,0.493951612903226
"dag",0.5,"unif",1000,1,"dag_tabu",0.027886866767314,0.483870967741935
"dag",0.5,"unif",1000,1,"dag_pc",0.027886866767314,0.483870967741935
"dag",0.5,"unif",1000,1,"dag_bayes",0.0268673591145548,0.483870967741935
"sevt",0.8,"unif",1000,1,"tree_bayes",0.207728113646422,0.235887096774194
"sevt",0.8,"unif",1000,1,"bhc",0.205228232057835,0.679435483870968
"sevt",0.8,"unif",1000,1,"csbhc",0.223994780317578,0.584677419354839
"sevt",0.8,"unif",1000,1,"dag_tabu",0.215988919767531,0.518145161290323
"sevt",0.8,"unif",1000,1,"dag_pc",0.21598891976753,0.518145161290323
"sevt",0.8,"unif",1000,1,"dag_bayes",0.21575924321653,0.518145161290323
"dag",0.8,"unif",1000,1,"tree_bayes",0.0030117553149362,0.340725806451613
"dag",0.8,"unif",1000,1,"bhc",0.0256487892729464,0.497983870967742
"dag",0.8,"unif",1000,1,"csbhc",0.0202119081979553,0.467741935483871
"dag",0.8,"unif",1000,1,"dag_tabu",0.00960852555951258,0.516129032258065
"dag",0.8,"unif",1000,1,"dag_pc",0.00960852555951258,0.516129032258065
"dag",0.8,"unif",1000,1,"dag_bayes",0.00974314969692658,0.516129032258065
"sevt",0,"exp",5000,1,"tree_bayes",0.00361804901603985,0.856854838709677
"sevt",0,"exp",5000,1,"bhc",0.00650015849404967,0.842741935483871
"sevt",0,"exp",5000,1,"csbhc",0.0112173342550789,0.903225806451613
"sevt",0,"exp",5000,1,"dag_tabu",0.0143729309090828,1
"sevt",0,"exp",5000,1,"dag_pc",0.00931117455256125,0.903225806451613
"sevt",0,"exp",5000,1,"dag_bayes",0.0143729309090828,1
"dag",0,"exp",5000,1,"tree_bayes",0.0151837880015813,0.887096774193548
"dag",0,"exp",5000,1,"bhc",0.0123491330784257,0.836693548387097
"dag",0,"exp",5000,1,"csbhc",0.0330728516046111,0.715725806451613
"dag",0,"exp",5000,1,"dag_tabu",0.0096108961664596,1
"dag",0,"exp",5000,1,"dag_pc",NA,NA
"dag",0,"exp",5000,1,"dag_bayes",0.0096108961664596,1
"sevt",0.5,"exp",5000,1,"tree_bayes",0.110226407279077,0.784274193548387
"sevt",0.5,"exp",5000,1,"bhc",0.113271114896382,0.788306451612903
"sevt",0.5,"exp",5000,1,"csbhc",0.10256918410698,0.733870967741935
"sevt",0.5,"exp",5000,1,"dag_tabu",0.108748247893727,0.872983870967742
"sevt",0.5,"exp",5000,1,"dag_pc",0.110345508393514,0.836693548387097
"sevt",0.5,"exp",5000,1,"dag_bayes",0.108262793520374,0.824596774193548
"dag",0.5,"exp",5000,1,"tree_bayes",0.0394922385191079,0.794354838709677
"dag",0.5,"exp",5000,1,"bhc",0.0430066020072075,0.792338709677419
"dag",0.5,"exp",5000,1,"csbhc",0.0487691337242659,0.848790322580645
"dag",0.5,"exp",5000,1,"dag_tabu",0.0546765359268893,0.870967741935484
"dag",0.5,"exp",5000,1,"dag_pc",0.0431150666532297,0.806451612903226
"dag",0.5,"exp",5000,1,"dag_bayes",0.0431843661693554,0.806451612903226
"sevt",0.8,"exp",5000,1,"tree_bayes",0.1346855295112,0.219758064516129
"sevt",0.8,"exp",5000,1,"bhc",0.142199235695051,0.554435483870968
"sevt",0.8,"exp",5000,1,"csbhc",0.127521301283653,0.169354838709677
"sevt",0.8,"exp",5000,1,"dag_tabu",0.13941043818956,0.491935483870968
"sevt",0.8,"exp",5000,1,"dag_pc",0.13941043818956,0.491935483870968
"sevt",0.8,"exp",5000,1,"dag_bayes",0.13941222217558,0.491935483870968
"dag",0.8,"exp",5000,1,"tree_bayes",0.00182047602988723,0.786290322580645
"dag",0.8,"exp",5000,1,"bhc",0.000367288840658342,0.808467741935484
"dag",0.8,"exp",5000,1,"csbhc",0.000373672541846781,0.695564516129032
"dag",0.8,"exp",5000,1,"dag_tabu",0.00293503586529359,0.741935483870968
"dag",0.8,"exp",5000,1,"dag_pc",0.00316097288356881,0.483870967741935
"dag",0.8,"exp",5000,1,"dag_bayes",0.00317650158795479,0.483870967741935
"sevt",0,"unif",5000,1,"tree_bayes",0.0287381468042267,0.832661290322581
"sevt",0,"unif",5000,1,"bhc",0.0315943812611112,0.778225806451613
"sevt",0,"unif",5000,1,"csbhc",0.00300156861194578,0.808467741935484
"sevt",0,"unif",5000,1,"dag_tabu",0.0246380541283406,1
"sevt",0,"unif",5000,1,"dag_pc",0.0193040663170622,0.967741935483871
"sevt",0,"unif",5000,1,"dag_bayes",0.0195209058966893,0.967741935483871
"dag",0,"unif",5000,1,"tree_bayes",0.00716573296752907,0.883064516129032
"dag",0,"unif",5000,1,"bhc",0.0114511803564223,0.788306451612903
"dag",0,"unif",5000,1,"csbhc",0.0114410920272832,0.788306451612903
"dag",0,"unif",5000,1,"dag_tabu",0.0126162688436288,0.741935483870968
"dag",0,"unif",5000,1,"dag_pc",0.0126162688436288,0.741935483870968
"dag",0,"unif",5000,1,"dag_bayes",0.0126162688436288,0.741935483870968
"sevt",0.5,"unif",5000,1,"tree_bayes",0.0987477039402095,0.548387096774194
"sevt",0.5,"unif",5000,1,"bhc",0.0788024638355763,0.701612903225806
"sevt",0.5,"unif",5000,1,"csbhc",0.108779307814873,0.671370967741935
"sevt",0.5,"unif",5000,1,"dag_tabu",0.0921708932886397,0.951612903225806
"sevt",0.5,"unif",5000,1,"dag_pc",0.107934348470764,0.75
"sevt",0.5,"unif",5000,1,"dag_bayes",0.105147706407174,0.512096774193548
"dag",0.5,"unif",5000,1,"tree_bayes",0.0550786271112114,0.669354838709677
"dag",0.5,"unif",5000,1,"bhc",0.0358135400268121,0.743951612903226
"dag",0.5,"unif",5000,1,"csbhc",0.0680127024887016,0.766129032258065
"dag",0.5,"unif",5000,1,"dag_tabu",0.0603623107735527,0.919354838709677
"dag",0.5,"unif",5000,1,"dag_pc",0.0587656392307567,0.741935483870968
"dag",0.5,"unif",5000,1,"dag_bayes",0.058549494736428,0.741935483870968
"sevt",0.8,"unif",5000,1,"tree_bayes",0.014334933573749,0.379032258064516
"sevt",0.8,"unif",5000,1,"bhc",0.0243256274050936,0.485887096774194
"sevt",0.8,"unif",5000,1,"csbhc",0.0157916527567091,0.491935483870968
"sevt",0.8,"unif",5000,1,"dag_tabu",0.0146393942181711,0.516129032258065
"sevt",0.8,"unif",5000,1,"dag_pc",0.0146393942181711,0.516129032258065
"sevt",0.8,"unif",5000,1,"dag_bayes",0.0146405067086349,0.516129032258065
"dag",0.8,"unif",5000,1,"tree_bayes",0.101119707766178,0.641129032258065
"dag",0.8,"unif",5000,1,"bhc",0.104100514059304,0.699596774193548
"dag",0.8,"unif",5000,1,"csbhc",0.105880657517241,0.582661290322581
"dag",0.8,"unif",5000,1,"dag_tabu",0.0908298887555081,0.725806451612903
"dag",0.8,"unif",5000,1,"dag_pc",0.0991632990377401,0.806451612903226
"dag",0.8,"unif",5000,1,"dag_bayes",0.0910508562753637,0.725806451612903
"sevt",0,"exp",500,2,"tree_bayes",0.0996998142677357,0.901209677419355
"sevt",0,"exp",500,2,"bhc",0.0814166145025357,0.808467741935484
"sevt",0,"exp",500,2,"csbhc",0.0517948253054509,0.870967741935484
"sevt",0,"exp",500,2,"dag_tabu",0.102290486374256,0.967741935483871
"sevt",0,"exp",500,2,"dag_pc",0.213657141426381,0.774193548387097
"sevt",0,"exp",500,2,"dag_bayes",0.107173308836438,0.967741935483871
"dag",0,"exp",500,2,"tree_bayes",0.117070393147992,0.883064516129032
"dag",0,"exp",500,2,"bhc",0.114520574318928,0.9375
"dag",0,"exp",500,2,"csbhc",0.114520574318928,0.9375
"dag",0,"exp",500,2,"dag_tabu",0.0618565001061152,0.741935483870968
"dag",0,"exp",500,2,"dag_pc",0.0618565001061152,0.741935483870968
"dag",0,"exp",500,2,"dag_bayes",0.0618565001061152,0.741935483870968
"sevt",0.5,"exp",500,2,"tree_bayes",0.135652822258627,0.725806451612903
"sevt",0.5,"exp",500,2,"bhc",0.136835328330821,0.737903225806452
"sevt",0.5,"exp",500,2,"csbhc",0.153742980275399,0.721774193548387
"sevt",0.5,"exp",500,2,"dag_tabu",0.139360380215131,0.754032258064516
"sevt",0.5,"exp",500,2,"dag_pc",0.139360380215131,0.754032258064516
"sevt",0.5,"exp",500,2,"dag_bayes",0.13937759278413,0.754032258064516
"dag",0.5,"exp",500,2,"tree_bayes",0.00750322910334006,0.483870967741935
"dag",0.5,"exp",500,2,"bhc",0.0126163514617175,0.491935483870968
"dag",0.5,"exp",500,2,"csbhc",0.015141224894665,0.522177419354839
"dag",0.5,"exp",500,2,"dag_tabu",0.0148061423742488,0.483870967741935
"dag",0.5,"exp",500,2,"dag_pc",0.0148061423742488,0.483870967741935
"dag",0.5,"exp",500,2,"dag_bayes",0.0148154930160975,0.483870967741935
"sevt",0.8,"exp",500,2,"tree_bayes",0.321034519552503,0.741935483870968
"sevt",0.8,"exp",500,2,"bhc",0.33772860298691,0.798387096774194
"sevt",0.8,"exp",500,2,"csbhc",0.307195438300052,0.713709677419355
"sevt",0.8,"exp",500,2,"dag_tabu",0.329385011357183,0.725806451612903
"sevt",0.8,"exp",500,2,"dag_pc",0.329385011357183,0.725806451612903
"sevt",0.8,"exp",500,2,"dag_bayes",0.327571434694104,0.725806451612903
"dag",0.8,"exp",500,2,"tree_bayes",0.381194592022999,0.784274193548387
"dag",0.8,"exp",500,2,"bhc",0.37415825681232,0.719758064516129
"dag",0.8,"exp",500,2,"csbhc",0.3759615430431,0.709677419354839
"dag",0.8,"exp",500,2,"dag_tabu",0.373626386000474,0.870967741935484
"dag",0.8,"exp",500,2,"dag_pc",0.378513379961837,0.612903225806452
"dag",0.8,"exp",500,2,"dag_bayes",0.373626386000474,0.870967741935484
"sevt",0,"unif",500,2,"tree_bayes",0.0134005846494211,0.905241935483871
"sevt",0,"unif",500,2,"bhc",0.0196465539400006,0.82258064516129
"sevt",0,"unif",500,2,"csbhc",0.0261443677138801,0.707661290322581
"sevt",0,"unif",500,2,"dag_tabu",0.0108089633775391,0.903225806451613
"sevt",0,"unif",500,2,"dag_pc",0.0345634623954758,0.774193548387097
"sevt",0,"unif",500,2,"dag_bayes",0.0109604463181938,0.903225806451613
"dag",0,"unif",500,2,"tree_bayes",0.0350611860056121,0.80241935483871
"dag",0,"unif",500,2,"bhc",0.0371270601237201,0.737903225806452
"dag",0,"unif",500,2,"csbhc",0.0623842270061685,0.653225806451613
"dag",0,"unif",500,2,"dag_tabu",0.112732266949377,0.806451612903226
"dag",0,"unif",500,2,"dag_pc",0.112731048783289,0.806451612903226
"dag",0,"unif",500,2,"dag_bayes",0.112026949451404,0.806451612903226
"sevt",0.5,"unif",500,2,"tree_bayes",0.147977131967836,0.816532258064516
"sevt",0.5,"unif",500,2,"bhc",0.137352936521612,0.61491935483871
"sevt",0.5,"unif",500,2,"csbhc",0.138189091546289,0.719758064516129
"sevt",0.5,"unif",500,2,"dag_tabu",0.189509984043533,0.877016129032258
"sevt",0.5,"unif",500,2,"dag_pc",0.171987116085308,0.752016129032258
"sevt",0.5,"unif",500,2,"dag_bayes",0.187774577260059,0.877016129032258
"dag",0.5,"unif",500,2,"tree_bayes",0.363272306124171,0.689516129032258
"dag",0.5,"unif",500,2,"bhc",0.369775608618254,0.655241935483871
"dag",0.5,"unif",500,2,"csbhc",0.416061237163675,0.756048387096774
"dag",0.5,"unif",500,2,"dag_tabu",0.400850029724603,0.67741935483871
"dag",0.5,"unif",500,2,"dag_pc",0.400850029724603,0.67741935483871
"dag",0.5,"unif",500,2,"dag_bayes",0.40068256801951,0.67741935483871
"sevt",0.8,"unif",500,2,"tree_bayes",0.106886871636765,0.169354838709677
"sevt",0.8,"unif",500,2,"bhc",0.0718245441720796,0.590725806451613
"sevt",0.8,"unif",500,2,"csbhc",0.0576982265190434,0.485887096774194
"sevt",0.8,"unif",500,2,"dag_tabu",0.085929004696924,0.673387096774194
"sevt",0.8,"unif",500,2,"dag_pc",0.085929004696924,0.673387096774194
"sevt",0.8,"unif",500,2,"dag_bayes",0.0806190671422977,0.5
"dag",0.8,"unif",500,2,"tree_bayes",0.00513334916922724,0.612903225806452
"dag",0.8,"unif",500,2,"bhc",0.00850534938563735,0.516129032258065
"dag",0.8,"unif",500,2,"csbhc",0.0345895661433244,0.495967741935484
"dag",0.8,"unif",500,2,"dag_tabu",0.0228234838859968,0.483870967741935
"dag",0.8,"unif",500,2,"dag_pc",0.0228234838859968,0.483870967741935
"dag",0.8,"unif",500,2,"dag_bayes",0.0227235934694022,0.483870967741935
"sevt",0,"exp",1000,2,"tree_bayes",0.014943568792152,0.846774193548387
"sevt",0,"exp",1000,2,"bhc",0.0183629100750892,0.824596774193548
"sevt",0,"exp",1000,2,"csbhc",0.0177398546658892,0.800403225806452
"sevt",0,"exp",1000,2,"dag_tabu",0.0270765832658924,1
"sevt",0,"exp",1000,2,"dag_pc",0.0110748027158666,0.967741935483871
"sevt",0,"exp",1000,2,"dag_bayes",0.0270765832658924,1
"dag",0,"exp",1000,2,"tree_bayes",0.0568667415030676,0.866935483870968
"dag",0,"exp",1000,2,"bhc",0.0888413265167846,0.784274193548387
"dag",0,"exp",1000,2,"csbhc",0.0703544520991473,0.840725806451613
"dag",0,"exp",1000,2,"dag_tabu",0.0530447784224375,0.935483870967742
"dag",0,"exp",1000,2,"dag_pc",0.0572415149327231,0.935483870967742
"dag",0,"exp",1000,2,"dag_bayes",0.0563778508756613,0.935483870967742
